Timestamp,Theta1,Theta2,Theta3,Kappa,Phi,X,Y,Z
1763669215.718774,50,50,0,2.932847,1.289185,0.007876,0.027224,0.136099
1763669215.9677427,60,60,0,1.884026,1.177698,0.007032,0.016957,0.138382
1763669216.2197163,70,70,0,2.535497,1.180322,0.009359,0.022737,0.137078
1763669216.4760118,70,70,0,3.363849,0.91246,0.019799,0.025598,0.134882
1763669216.7270334,80,80,0,3.161626,0.717283,0.022971,0.020037,0.135473
1763669216.975681,90,90,0,3.729784,0.813021,0.024557,0.025952,0.133724
1763669217.2260125,90,90,0,4.34387,0.603841,0.033975,0.023436,0.131529
1763669217.4757743,100,100,0,4.119004,0.425013,0.035767,0.016188,0.132369
1763669217.725114,100,100,0,4.969154,0.554714,0.039753,0.024631,0.128977
1763669217.975111,110,110,0,5.650262,0.412278,0.048142,0.021055,0.125849
1763669218.2264466,120,120,0,4.906101,0.352305,0.04338,0.015948,0.129249
1763669218.4750917,120,120,0,6.216566,0.290566,0.054776,0.01638,0.122983
1763669218.7267537,130,130,0,7.081236,0.397078,0.058924,0.02471,0.118168
1763669218.9766428,140,140,0,6.81521,0.25367,0.059893,0.015528,0.119704
1763669219.2267,140,140,0,7.570314,0.248742,0.065422,0.016617,0.115224
1763669219.4761264,150,150,0,8.183205,0.264057,0.06931,0.018739,0.111323
1763669219.726295,150,150,0,8.281318,0.134776,0.071807,0.009737,0.110678
1763669219.9759617,160,160,0,9.162098,0.297719,0.074696,0.02292,0.104647
1763669220.2267935,170,170,0,9.143271,0.03856,0.07796,0.003008,0.10478
1763669220.47574,170,170,0,10.0,0.008383,0.083,0.000696,0.098545
1763669220.7264712,0,0,0,9.629712,0.386634,0.074943,0.030511,0.101282
1763669220.9770184,0,0,0,5.443737,1.369415,0.010164,0.049789,0.126835
1763669221.2400427,0,0,0,2.948659,1.319012,0.007097,0.027591,0.136057
1763669221.4917967,0,0,10,3.345125,1.13524,0.01358,0.029182,0.134938
1763669221.7392638,0,0,20,2.971937,1.232403,0.00953,0.027079,0.135995
1763669221.9915707,0,0,20,3.077967,1.2084,0.010529,0.027771,0.135707
1763669222.2398126,0,0,30,2.997163,1.180886,0.011002,0.026771,0.135928
1763669222.4907267,0,0,30,2.929255,1.230399,0.00945,0.026682,0.136109
1763669222.7394876,0,0,40,2.843267,1.363298,0.005665,0.026908,0.136332
1763669222.9894533,0,0,50,2.857472,1.276206,0.008023,0.026441,0.136296
1763669223.2398367,0,0,50,2.754389,1.47724,0.002491,0.026544,0.136556
1763669223.489628,0,0,60,2.843487,1.825702,-0.006934,0.026612,0.136331
1763669223.7399704,0,0,70,2.777979,1.656692,-0.002306,0.026784,0.136497
1763669223.9909365,0,0,70,2.962062,1.926152,-0.009956,0.026827,0.136022
1763669224.239409,0,0,80,3.100321,1.922628,-0.010307,0.028077,0.135645
1763669224.4967935,0,0,80,3.290665,2.088752,-0.015686,0.027527,0.1351
1763669224.7475667,0,0,90,4.011261,2.327174,-0.026277,0.027848,0.132757
1763669224.9968874,0,0,100,3.274922,2.085461,-0.015523,0.027451,0.135146
1763669225.2470658,0,0,100,4.413412,2.409542,-0.03116,0.028001,0.13126
1763669225.4981024,0,0,110,5.250952,2.553855,-0.04093,0.027271,0.127727
1763669225.7458696,0,0,120,5.023541,2.506031,-0.038012,0.02804,0.128741
1763669225.9978802,0,0,120,5.914409,2.617039,-0.047367,0.027407,0.124542
1763669226.2497797,0,0,130,6.58388,2.674248,-0.053639,0.027068,0.121001
1763669226.502837,0,0,130,6.606572,2.675028,-0.053818,0.027105,0.120875
1763669226.753398,0,0,140,7.687188,2.743782,-0.063002,0.026474,0.114497
1763669227.0045035,0,0,150,6.858337,2.681284,-0.05573,0.027633,0.119459
1763669227.246404,0,0,150,8.331452,2.681284,-0.05573,0.027633,0.119459
1763669227.3303854,0,0,150,8.331452,2.777442,-0.068027,0.025929,0.110346
1763669227.573284,0,0,160,9.449015,2.82833,-0.075973,0.02461,0.102595
1763669227.8243318,0,0,170,9.374959,2.822452,-0.07541,0.024918,0.103128
1763669228.0728729,0,0,170,10.0,2.866372,-0.079879,0.022557,0.098545
1763669228.3239207,0,0,0,10.0,2.868151,-0.079919,0.022415,0.098545
1763669228.573578,0,0,0,3.048935,0.951372,0.017085,0.023961,0.135787
1763669228.823333,0,0,0,2.7525,1.494662,0.002026,0.026565,0.136561
1763669229.073956,10,0,10,2.713688,1.651585,-0.00212,0.02619,0.136656
1763669229.3244326,10,0,10,3.229502,1.52677,0.001369,0.031084,0.135279
1763669229.5736592,20,0,20,3.098896,1.489778,0.002419,0.029798,0.135649
1763669229.8236425,30,0,30,3.103529,1.420623,0.004479,0.029602,0.135636
1763669230.074377,30,0,30,3.04112,1.398589,0.00503,0.028921,0.135809
1763669230.3317685,40,0,40,2.798779,1.375623,0.005252,0.026565,0.136445
1763669230.580331,40,0,40,2.868846,1.483608,0.002415,0.027633,0.136266
1763669230.8306365,50,0,50,2.495039,1.175241,0.009326,0.022335,0.13717
1763669231.0800865,60,0,60,2.843238,1.58841,-0.000484,0.027493,0.136332
1763669231.3301044,60,0,60,2.081309,1.810717,-0.004813,0.019673,0.138027
1763669231.5814188,70,0,70,1.43455,1.490405,0.001125,0.013966,0.139061
1763669231.830323,80,0,80,1.866449,1.935928,-0.006494,0.016988,0.138412
1763669232.0803185,80,0,80,1.58172,2.524507,-0.01259,0.008933,0.138859
1763669232.3301437,90,0,90,0.506331,3.08724,-0.004953,0.000269,0.139883
1763669232.5815618,90,0,90,1.647122,3.006508,-0.015924,0.002164,0.138763
1763669232.8372452,100,0,100,0.732248,-1.812693,-0.001717,-0.006961,0.139755
1763669233.0879257,110,0,110,1.285084,-2.746414,-0.011592,-0.004835,0.139246
1763669233.33705,110,0,110,2.604335,-2.487489,-0.020031,-0.015358,0.136919
1763669233.5875137,120,0,120,3.473354,-2.712145,-0.030343,-0.013896,0.134548
1763669233.8374462,130,0,130,3.253652,-2.390732,-0.022911,-0.021381,0.135209
1763669234.086563,130,0,130,4.188885,-2.386606,-0.02905,-0.027334,0.132112
1763669234.3363743,140,0,140,4.399402,-2.182569,-0.023988,-0.034193,0.131315
1763669234.5886295,140,0,140,5.158938,-2.351201,-0.034051,-0.034393,0.128142
1763669234.8378942,150,0,150,5.173285,-2.041049,-0.021985,-0.043254,0.128077
1763669235.0943637,160,0,160,5.918859,-2.295218,-0.03629,-0.041009,0.124519
1763669235.3446186,160,0,160,6.926495,-2.251077,-0.039454,-0.048762,0.119068
1763669235.5947292,170,0,170,7.939647,-2.158707,-0.03889,-0.058347,0.1129
1763669235.8444831,0,0,0,8.155425,-2.205578,-0.042464,-0.05766,0.111505
1763669236.0884333,0,0,0,1.236629,-2.350791,-0.008502,-0.008594,0.139302
1763669236.338231,0,0,0,2.712314,1.412993,0.004127,0.025936,0.13666
1763669236.59018,0,10,10,2.462332,1.522546,0.001152,0.023865,0.137244
1763669236.838237,0,10,10,2.387434,1.683821,-0.002614,0.023032,0.137408
1763669237.164076,0,20,20,2.4101,1.384454,0.004334,0.022991,0.137359
1763669237.4136896,0,20,20,2.483258,1.326308,0.005832,0.023375,0.137197
1763669237.663634,0,30,30,2.37235,1.398586,0.003947,0.022695,0.13744
1763669237.914607,0,40,40,2.415799,1.366753,0.004752,0.022964,0.137346
1763669238.158054,0,40,40,2.640456,1.473399,0.002488,0.025462,0.136833
1763669238.4079082,0,50,50,2.66983,1.657845,-0.002248,0.025763,0.136763
1763669238.6580846,0,60,60,3.150436,1.432286,0.004194,0.030086,0.135505
1763669238.9071643,0,60,60,2.991678,1.666769,-0.002769,0.028759,0.135943
1763669239.1571314,0,70,70,3.648898,1.551007,0.000692,0.034981,0.13399
1763669239.4070847,0,70,70,4.42769,1.524308,0.001953,0.041974,0.131205
1763669239.6582372,0,80,80,3.905561,1.910385,-0.012435,0.035199,0.133128
1763669239.908053,0,90,90,4.346497,1.726458,-0.006402,0.040798,0.131519
1763669240.1584148,0,90,90,5.749753,1.682398,-0.005944,0.053038,0.125363
1763669240.4140468,0,100,100,5.963602,1.807584,-0.012932,0.053588,0.124293
1763669240.664708,0,110,110,6.542978,1.664702,-0.005604,0.059498,0.121226
1763669240.9143355,0,110,110,7.072356,1.744818,-0.011052,0.062865,0.11822
1763669241.1644876,0,120,120,7.605709,1.790723,-0.014781,0.066122,0.115005
1763669241.406881,0,120,120,8.456201,1.685865,-0.008454,0.073146,0.109514
1763669241.6577663,0,130,130,8.822093,1.479512,0.006929,0.075693,0.107024
1763669241.9074528,0,140,140,8.925105,1.830882,-0.019715,0.074084,0.10631
1763669242.158251,0,140,140,10.0,1.774359,-0.01678,0.081289,0.098545
1763669242.400365,0,150,150,10.0,1.652358,-0.006762,0.082727,0.098545
1763669242.650607,0,160,160,10.0,1.758258,-0.015469,0.081549,0.098545
1763669242.9008927,0,160,160,10.0,1.57999,-0.000763,0.083,0.098545
1763669243.1430848,0,170,170,10.0,1.344231,0.018645,0.080882,0.098545
1763669243.3945122,0,170,170,10.0,1.214272,0.02897,0.077784,0.098545
1763669243.643654,0,0,0,7.953196,1.793843,-0.015532,0.068475,0.112813
1763669243.8935893,0,0,0,3.782122,1.090412,0.016732,0.032109,0.133549
1763669244.1432211,0,0,0,3.118041,1.465357,0.003165,0.029908,0.135596
1763669244.3936176,10,10,10,3.541371,1.485132,0.002909,0.033876,0.134335
1763669244.649878,20,20,20,3.291025,1.401485,0.005339,0.031232,0.135099
1763669244.9002068,20,20,20,3.307236,1.461619,0.003469,0.031646,0.135051
1763669245.151762,30,30,30,3.325108,1.3625,0.006618,0.03131,0.134998
1763669245.40142,30,30,30,3.27599,1.391556,0.005624,0.03104,0.135143
1763669245.6508367,40,40,40,3.391922,1.531002,0.001298,0.032595,0.134797
1763669245.907133,50,50,50,2.785612,1.458942,0.003009,0.026786,0.136478
1763669246.1580677,50,50,50,2.987279,1.253968,0.008989,0.027415,0.135954
1763669246.408024,60,60,60,3.645755,1.322831,0.00858,0.03389,0.134
1763669246.6583614,70,70,70,2.934813,1.453524,0.003318,0.028164,0.136094
1763669246.910289,70,70,70,2.275708,1.484218,0.001912,0.022031,0.137644
1763669247.162348,80,80,80,4.264046,1.231018,0.013518,0.038242,0.131832
1763669247.4148238,80,80,80,3.408221,0.957591,0.01886,0.026801,0.134748
1763669247.6699498,90,90,90,2.640642,1.890626,-0.008044,0.024287,0.136833
1763669247.9209704,100,100,100,2.835167,1.245319,0.008768,0.025982,0.136353
1763669248.171312,100,100,100,3.604564,1.693311,-0.004226,0.034322,0.134133
1763669248.4227192,110,110,110,3.254534,0.956524,0.018067,0.025616,0.135206
1763669248.671325,120,120,120,2.663446,1.359793,0.005404,0.025229,0.136778
1763669248.9226954,120,120,120,3.521018,0.875674,0.021656,0.025967,0.134399
1763669249.1752756,130,130,130,4.203413,0.416025,0.036605,0.016173,0.132058
1763669249.427214,130,130,130,5.976978,0.399304,0.05089,0.021474,0.124225
1763669249.6791637,140,140,140,6.790228,0.462749,0.055194,0.027535,0.119846
1763669249.9314072,150,150,150,7.029399,0.363696,0.059351,0.022591,0.118471
1763669250.1875072,150,150,150,6.681874,0.281097,0.058456,0.016879,0.120456
1763669250.4361756,160,160,160,3.858297,1.316398,0.009287,0.035713,0.133291
1763669250.688169,170,170,170,2.885599,1.143678,0.011556,0.02539,0.136223
1763669250.9440544,170,170,170,4.471688,0.802252,0.029479,0.030489,0.131033
1763669251.1951442,0,0,0,6.252237,0.60816,0.047156,0.032829,0.122795
1763669251.4477942,0,0,0,7.769107,1.04322,0.034698,0.05955,0.113983
1763669251.699553,0,0,0,3.276652,1.338057,0.007277,0.030701,0.135141
1763669251.952546,10,0,0,3.006622,1.404657,0.004801,0.028633,0.135902
1763669252.2836294,10,0,0,3.298829,1.436578,0.00425,0.031472,0.135076
1763669252.5335026,20,0,0,3.387596,1.418516,0.004942,0.032204,0.13481
1763669252.7841146,30,0,0,3.293627,1.468165,0.003249,0.031543,0.135091
1763669253.0320308,30,0,0,3.214802,1.472827,0.00303,0.030828,0.135321
1763669253.2844777,40,0,0,2.793933,1.446944,0.00334,0.026826,0.136457
1763669253.5336912,50,0,0,2.974763,1.447741,0.003527,0.028516,0.135988
1763669253.7839284,50,0,0,2.537431,1.381069,0.004641,0.024165,0.137074
1763669254.0326557,60,0,0,2.358799,1.262814,0.006944,0.021829,0.137469
1763669254.2825727,60,0,0,2.190759,1.269192,0.006328,0.02034,0.137815
1763669254.5327384,70,0,0,1.717001,0.964021,0.009549,0.013756,0.138656
1763669254.7827528,80,0,0,2.008625,1.213426,0.006841,0.01832,0.138162
1763669255.0326347,80,0,0,1.435397,0.626122,0.01136,0.008216,0.13906
1763669255.2836645,90,0,0,1.570697,-0.100783,0.015253,-0.001542,0.138874
1763669255.534417,100,0,0,1.463375,0.121487,0.014186,0.001732,0.139023
1763669255.7898238,100,0,0,1.925878,-0.297201,0.017937,-0.005494,0.13831
1763669256.047617,110,0,0,2.069992,-0.355387,0.018886,-0.007009,0.138049
1763669256.2981527,110,0,0,2.438256,-0.513657,0.02061,-0.011628,0.137297
1763669256.5479794,120,0,0,3.361605,-0.690656,0.024929,-0.020602,0.134889
